useful,reviewText,funny,cool,label
2,"My mom and I dined here tonight.  We had a groupon expiring soon that we needed to use.  Now that we know how wonderful Luma is, we know that groupon was a great deal! Our waitress, Colleen, was very friendly and attentive.  Our food and drinks were brought to us in a timely manner.  We ordered the fried eggplant straws with basil aioli for our appetizer, and we also had bread with dipping oil.  Both were delicious and very filling! I ordered the chocolate and coffee duck breast and my mom ordered the Alaskan cod for our entrees, both dishes were exceptional!!  We will definitely be returning!",1,1,1
0,"This is probably my favorite hidden gem of Ohio city, well hidden for me. It's right off bridge avenue, quiet and quaint, good coffee, relaxing atmosphere, it's close to the library so I grab a cup and go! Highly recommended. Bright & spacious, plenty of seating. The earl tea is amazing, their dirty chai is okay, a bit too strong for my taste. Overall I was pleased!",0,0,1
1,"Seven Hills Surgery Center
876 Seven Hills Dr.
Henderson, NV 89052

David E. Brown Sr., B.S.C.J.L.E., M.I.T., Ph.D.
735 Solitude Point Avenue
Henderson, Nevada 89012
davidbrown472@live.com
(757) 561-8760
(909) 368-1051

Attention: Director of Seven Hills Surgery Center Henderson
It gives me great pleasure to inform you of the professionalism, courtesy, clean and well-established medical facility in which I was an inpatient and outpatient for a medical procedure. I want to acknowledge and sincerely congratulate the men and women that worked on August 20th, 2019 from 11:00 A.M. until 2 P.M. for the 7 to 3 shift.  I was welcomed at the center immediately upon arrival by a lovely medical records nurse named Jasmine who immediately acknowledge my veteran status with a warm ""thank you for your service"" smile and pleasant attitude.  Jasmine's conversation was family and friend orientated in which is very important to any individual that walks through the facility doors that may be going through the repercussions of family and personal mental issues. My personal nurse, my anesthesiologist, and my doctor were just lovely and comforting, and the most important perspective was that every detail was explained from how the procedure was going to take place and what to expect after the procedure.  During my stay at the medical facility, I observed the interactions of all the staff members, their conversations one with another and their engagements with other patients and housekeeping staff and I was truly, truly impressed beyond measure by how the nurse's and clinical nurse assistants performed promptly and non-hesitatingly.  Nurse's were going on there lunch breaks and took the time out to assist their co-worker for a minor detail while they were on break.  I had forgotten to turn the volume down on my cell phone, and it was ringing in my property bag under my bed and a nurse who was getting ready to go on break, took a 15 second break just to get my phone for me, and told me that I could keep it until my procedure started.  During this moment I heard nothing but respect from other patients to the staff members as well.  I heard words from staff members supporting and encouraging one another such as "" you go and take your break, I will handle this"" I saw senior citizen nurses training young nurse assistants in which I assumed must of have recently been hired at the facility.  Moreover, the presence, the atmosphere in the work environment was just heavenly and would make any patient feel safe, secure and to know that their care was in good hands. I want to say thank you also for the human resources department and supervisors who hired these individuals, for from my intake to the recovery room everything was superiorly professional and most of all family-oriented, thank you so much for demonstrating God's love for your care for all people.
Truly and sincerely,
David E. Brown Sr., B.S.C.J.L.E., M.I.T., Ph.D.",0,0,1
0,"Amazing sushi. Great names for the rolls. Quality, friendly service. Call and see if you need to make a reservation because they get busy!!!",1,0,1
0,I came in here on my birthday to get the 18th birthday special (whoop whoop) and they were very quick to let me know that it would just be a couple minutes before they were able to help out which is totally cool. I filled out me paperwork and sat for maybe 5 or so minutes before Jacob came out to get me for my septum piercing. He was very thorough in his explanation of what he was doing before he did any of it. He talked through the whole thing and I barely felt a thing at all so obviously he knew what he was doing! He talked through the after care instructions with me twice (once before the piercing and once after) and sent me home with more sea salt than I will ever need and more instructions so I won't forget. It was a great experience and I will definitely come back for more,0,0,1
0,"I ate the most amazing sandwich here for lunch and I owe it all to yelpers. The Bahn Mi Sandwich. The pulled pork was very juicy and tender and there was a generous portion. The sour daikon and carrot pickles along with the cilantro and aioli paired perfectly. It was so filling I was full after half but decided to finish it since the bread was getting soggy, not good leftover material. I was almost tempted to order one of the daily specials written on a chalkboard beside the counter and need to come back for those.

If you dine inside there are tables and a charging station inside. There are tables outside also. They will give you a number and bring the food out to you. I was in a hurry, so I ordered my food to go. Your name will be called when it is ready and they box and bag your food super conveniently. While I was waiting, I wandered around the store looking at the gourmet chocolates and candy they had on display. There are also salads, small sides, and dessert options boxed up. And a coffee bar. Also, a good selection of wine and craft beer. This place has everything.

Parking can be tricky during peak times - there are a few spots along the street right outside but not too many.",0,0,1
0,Been coming here since I was little. Best pork noodle soup ever! The buffet is awesome as well. Good prices. Also try to order off the menu. The drums of heaven are delish.,0,2,1
0,"This is probably one of the best locations in Vegas yet. They have a drive thru for your convenience, the inside makes you feel like you're in California by the beach, not to mention it's very spacious and the staff is very polite and friendly (which is nice for a change).

Definitely coming back soon!",0,1,1
4,"Decided to try this out after reading about it on Yelp!  Why we haven't been here sooner is beyond me - we live less than a mile from it!!!

My husband and myself had the gyro platter - very good and the place was hopping - not sure if it was because it was a Friday or as we have now learned it's that good.  And there are truly Greek people working there - now that is authentic!  Nothing fancy - you're eating on paper plates with plastic ware - easy clean up!

Definitely going back and trying something different....",0,1,1
0,"It was incredibly busy when I walked in as a walk-in. I was sat down almost immediately, which was great. The lady was very nice and open to finding her mistakes and fixing them before I could say anything, but there were a few things I didn't like about these nails too much, but I'm picky, so I'm overall satisfied. A little sloppy, with polish in my cuticles and a few spots where she missed and there are bubbles... but like I said, I'm happy with them. I decided to also get a pedicure, but I wanted just regular polish on my toes (while I got gel on my hands) and they were very nice and accurate about choosing a color most similar to it. For a while, I was kind of just standing there, hoping for them to realize that I was getting a pedicure as well. But it was great! For the price, I'm very happy with what I have now, and if it wasn't for the fact that I'm on vacation, I'd come back for sure!",0,0,1
