useful,reviewText,funny,cool
6,"Dang, this place was healthy and delicious AF! I was getting pretty tired of eating chicken and brown rice with veggies PLAIN at home and I was meeting up with an old pal for lunch and we were both feeling that healthy vibe so we chose Buddha Bowls as out meet up spot.

It's a small place (maybe 8-10 seats) and to my knowledge, there isn't parking readily available to street parking is the answer. It's great for lunch takeaway for people on the go for sure, and I believe I overheard that they are partnered with local food delivery services as well. Definitely order in from here!

As the staff explained, this place is basically like Subway, without the bread (and bad cheese). You start by choosing a base (brown or white rice or cold noodles) then a protein, followed by veggies, a curry sauce (mild, medium and hot) and then some tasty garnishes.

Today I went with brown rice and chicken (I know, I know this was exactly what I wanted to avoid but it sounded so much better how THEY made it), topped with lentils, kale, green curry (the spiciest one), peanuts, cilantro, zucchini and green beans. Dynamite!!! 

It was very filling, but not in the ""I'm so full and sleepy now"" kinda way, more like, ""my body feels full of goodness and it's using all these fresh ingredients to fuel my body"" way. Long description but you get it, don't you? I felt great - still do in fact 2 hours later.

I appreciated all the rice, I would have loved less rice and more meat but I understand that to maintain their reasonable pricing (about $10/person), they do have to monitor portions.

That aside I'm a big big fan and I will return, hungry

Eatcrest Out",0,3
0,"Met a family member who was in town on a recent Saturday night at Patsy Grimaldi's.  I had been excited about trying this place for quite awhile, and had heard many good things.  Too make a long story short...it was ok.  I won't be rushing back anytime...

There were seven of us, and we had to wait about 20-25 minutes for a table at 530.  Once we were seated the service was okay, definitely not fast, but not really slow.  The wife and I split a caesar salad and a basil/garlic pizza.  The caesar got poor reviews from both of us.  The pizza was just ok.  It did get better as I ate more, but it wasn't super, nor was it horrible.  Maybe slightly better than average.  

Another drawback is that it was quite loud.  We were probably 75% of the way through the meal before I was able to identify that they were playing music in the restaurant, and that the music was Christmas Carols.  They did seem to have the ability to accommodate large parties, so that is nice, and they were showing a couple football games in the bar.  I guess I'd go back, but there are plenty other pizza places I like better or would like to try.",0,0
3,there are a bunch of cry babys if you cant not buy anything from whole foods dont shop there point blank go to walmart or smartshop i love this store they have the best meat and friut from our small frams i love it here its way cheaper then the whole foods nyc.....we should be proud we have this type supermarket,0,2
1,"I give a 4 because of the annoying oriental music playing in the room all the time.  When you leave the room the maids turn it back on.  Not relaxing to me.  I  understand why they do it because this is a spay hotel with an oriental them.  If I turn music off I want it off.  Other than that very nice.  No smoking hotel! And no casino.  Perfect because after speeding day and night in smoking hotels and casinos you need a break.  Of course you can get spay service for $$$$.  Think a few hundred or more. Elevator system to get to room confusing.  They also
Don't allow you to leave hotel on check out morning without going by main desk.  Elevator would not go down.  Maybe they turn it off at certain hours.  But overall good experience. The Asian fusion bistro is very good.",1,0
11,"One of my girlfriends who moved to Vegas about a year ago wanted to take me out on a dinner date. 

Rather than perusing through Yelp, I opted for her to call the shots on where to take me. Now that's a rare occasion since more often than not, I do the cuisine-suggesting. The change was definitely nice and made for a few pleasant surprises.

She picked me up from MGM and took the backroads, clearly well off the strip to a local hang out called Herbs & Rye. 

Upon entering, you definitely are taken aback by how dark it is in there. Seriously, your eyes don't quite fully adjust until you are seated. We got there in the early evening and it was starting to get packed. Fortunately, my girl made reservations and we were situated in one of their awesome booths facing the bar. 

You don't have pages and pages of menu to peruse through. Their offerings are simple and to the point, no frills here. Don't get me wrong, just because the menu isn't laced with words you can't pronounce or ingredients you've never seen, doesn't mean quality has been sacrificed. On the contrary, the seem to use products of utmost quality with particular attention to the entree's final outcome.

We had  a wonderful server, I'd like to say his name was Richard though I'm no longer sure. He was warm without being overbearing, made us laugh a little and suggested deliciously buttery chardonnay for me. 

BTW happy hour is awesome here, but many of their dishes, yes even the steaks at 50% off!

We ordered:
Carpaccio - i have never had carpaccio before and this was just amazing. I would order this again in a heartbeat

New York Strip - We added bacon and oh my was that a thick cut piece of pork! They prepared it medium rare and seasoned just right

Truffle Mac n Cheese - Although not too truffle-y, this mac n cheese was still a hit

Sweet Potato Tots - We got this with the marshmallow crust. heaven in your mouth. geez.

Mind you they have a very impressive selection of cocktails as well.

We skipped dessert this particular time since we were going somewhere else for our sweet treats. Regardless, our meal was fantastic and kudos to the folks at Herbs & Rye for the stellar experience.",1,4
1,"Just another Bouchon Review ...but hey...it's my first time there !!  on my SO's days off  we tend to sleep in late so our first meal is usually at 2-4 pm...not exactly the best time to eat at a restaurant ...is there a  word similar to brunch for the timeframe between lunch and dinner...Linner ?!?! Anyways, made a couple $$$ on the tables so decided to splurge and ordered the foie gras pate....$48 for 5 oz. ...it ain't cheap but it is delicious !!! ( i added pics of our meal ) 
 the food selection  was limited... we  were told it's their bar menu - SO had the lamb sammie, i had the ham croquette sammie...both came  with a huge pile of french fries...can't remember if the menu said pommes frittes or not !!  the fries  were very tasty a little more on the salty side but i like them that  way.

The sammies  were very good - loved the perfectly cooked egg on top of my sammie  with the silky smooth sauce...the lamb  was delicious but SO and i agreed a little too much onion on top.

the foie gras served as our appetizer and dessert .

 we really loved the look of this place, the garden/patio next to it and the feeling that you are far remved from the vegas hustle ... we agreed that  we have to give this place a try during normal biz hours...especially at dinner",0,0
6,"** If you are a person with any underlying medical conditions, PLEASE consider reading my review before getting a massage at this place! **

I was on vacation out here (I'm from St. Louis) and decided I really wanted a Thai foot massage. I'm a student in a massage therapy program and have always been really interested in Eastern medicine, and had heard through locals that this area was perfect for just that. I chose Master Spa based on the awesome reviews since I don't know the area very well. Like others have mentioned, it's pretty basic, but that didn't really phase me since I really just wanted an authentic experience. The place was clean, quiet, small, and the lights were dim enough for that super mellow feel. A young woman started working on my boyfriend first, then another gentleman a little while later came out to work on me. I found it interesting the woman was wearing gloves (which I sincerely hope were nitrile, NOT latex! A huge part of the population are allergic!) Even if she had open wounds on her hands, I can't justify why she would need gloves (they make airtight bandaids) - and if you don't like touching people, why are you in this occupation (?) Anyway, interesting. The guy plopped down without much of a greeting and just started working on my feet. I briefly explained that I had sort of tender feet from being on them so much, and he nodded. I found it interesting that there were no basic questions asked (aka: are there any areas to stay away from, what type of pressure would you like, etc.) I told him how I was a student and then asked a few questions about reflexology and what kind of training they get to be licensed. I don't know if he thought I was grilling him (I wasn't, I was only curious and wanting to know more about the culture) but he became very flustered and hesitated when I used the word ""licensed."" However, it was a decent foot massage, the dude definitely knew what he was doing.

They both ended their massages around the same time. When it was time to pay, they harassed my boyfriend that he wasn't tipping them enough (they wanted $10 each for a 30 min foot massage) and when he said he was only doing $5, the woman mumbled to the man ""such little money"" in Chinese (which my boyfriend fluently speaks...whoops!) It was incredibly awkward. Demanding a 50% tip? Wasn't going to happen, it wasn't like they used a ton of materials or anything. What's more, the guy didn't start my massage until maybe 5 minutes after my boyfriend had (but they both ended at the same time), so it wasn't even a full 30 minutes

All in all: if you have any medical conditions, I do NOT recommend going here, the people just don't seem to understand enough English to know how to personalize the massage, which could lead to an injury (and I really do question if any of them had any official licenses or formal training). If you're looking for an authentic Thai massage without the bells and whistles, this might be the right place for you :)",3,0
1,"Totally and thoroughly disgusted with this hospital!!!!!  My daughter went to an urgent care for her migraine that she has had for two weeks and also was very dizzy and unstable, they said ""we have called the hospital and they are expecting you.  You need to go immediately and get a scan of the head.""  She was VERY scared but followed the directions and went to the hospital.  When she checked in (which took 1hr) they told her to ""wait"".  She, in the mean time, was trying not to throw up and was very lightheaded and they did NOTHING.  I understand Triage but when an urgent care calls in and told them she was coming and why they should have been more receptive.  She sat there for about 2 hrs. in pain with her head ready to split wide open and NO ONE CARED.  I live in Florida and was ready to get on a plane to come to her, but she (she is a trooper) said she would be ok she was in the hospital so if anything happened it would be ok.  Her fiancée was finally able to get to her (he is in the Air Force) and they basically were ignoring them which is absolutely horrid.  Finally after about 3 hrs. she got an IV with some medication to ease her migraine.  
For all we know (due to no scan) she could have had an aneurysm and we STILL don't know what is wrong because of complete incompetence.  I will be taking this further - possibly to my lawyer!! 
Thank you UMC for shoddy patient care and complete disreguard for patience and their well being.  I thought you were a HOSPITAL but apparently you are only a shlock operation.",1,1
2,Food was okay. Service was poor. We'd heard good things so we were optimistic. We won't be back.,0,0
0,"Worst place ever... I didn't play any of the games because I wanted to get out of the place ASAP. The food was edible at best.

My friend got Mac & Cheese and it was cheese sauce from a bottle mixed with some pasta. I got a Caesar salad that was romaine lettuce covered in Caesar dressing, there weren't even any croutons!!

Don't waste your money.",0,0
