useful,reviewText,funny,cool,label
0,"A MUST DO WHEN YOU ARE VEGAS!! Vegas isn't all about the strip, this place is awesome. From our driver Jenny who was knowledgeable about the area and a great conversationalist that the 20 minutes seemed like 2. The owner Mike was accommodating to all of our Groupons and large group. Spencer our tour guide and ATV instructor was great with those who wanted to speed and Chris was good with  those who wanted to take it a little slower. Chris made sure we had the whole group at all times and gave us tips for driving. Awesome and it helps to make he trip well rounded!!",0,0,1
1,"The before and after speaks for itself. 

First thing I did walking in, was tell Laura my pup tends to be a brat (stubborn, not aggressive) with strangers and that the previous groomer I brought him too skipped trimming his face all together. She didn't seem worried one bit, took Rocky in the back and off I went to run some errands.

She did an amazing job, was able to trim his face, paws and cut his claws. She said he was great and that the only thing he wasn't keen on was his paws being played with but that he would get the hang of it in no time. I would 100% recommend. Grateful she took the extra time with him and got everything done. Also, Rocky kept going back to her to get petted after the grooming which tells me she was nice and treated him well.",0,0,1
2,"Delicious. Never had fried dumplings like this before. Definitely worth it! 

Setting is not so great, but the food is real good, so I'll still give this one a good rating.",0,0,1
2,"I normally don't eat sandwiches, but when I do....

I attended the pre opening event tonight and oh my lord, these sandwiches were heavenly! I got to try their rubicon special and achin 4 bacon sandwiches as well as their nutty bowl. These items were of great quality and their freshness was at 100%! The bread was to die for and their portions were more than you could ask for! I enjoyed my visit and will be coming back when they open!",0,0,1
0,I love this place. Best tacos I've had. And I've had plenty of tacos! Being Mexican and all. I would highly recommend it here .. Peggy was awesome. Thank you Peggy for a great experience!,0,0,1
2,"I come from the north east, home of New York style pizza, so I have had a few slices in my day and let me tell you, this is as good or better than anything I can recall having back home!  

Place is a bit hidden and as the previous reviewer noted; no point of sale system set up just yet but if you like pizza you MUST go here. 

The pizza is spectacular!  I tried a slice walking to my car and had to eat another before even I pulled out. 

I'm trying to save enough to take a picture of to post here...",4,1,1
1,"This could not have gone better.

I was told that Chef Gordon occasionally reads these reviews.  Mr. Ramsey, if you're reading this, please be assured that your staff made our 20th anniversary dinner an absolutely magnificent experience.

The space is thoroughly pleasant, with lots of interesting accoutrements and pleasant lighting.  The tables and chairs were well appointed, and I was even impressed with the quality of the flatware.

Our server (Christ) was an absolute sweetheart and took very good care of us from start to finish.  We also were well attended by Jose who kept us stocked with water throughout our meal.

We began with a splitting of a lobster risotto. Absolutely flawless preparation, and brought out at the perfect temperature. I could've eaten two or three more of these!

My wife went with the filet mignon, and indicated it was expertly prepared. I went with the excellent rack of lamb, and was very impressed with the quality of the seasoning.  However, the jewel of our meal was absolutely the macaroni and cheese.  Who knew that macaroni and cheese could be so incredibly delicious!

We were surprised by the staff when we were given a complementary toffee putting dessert, what a wonderful gesture, and so delicious!

Most meals are quickly forgotten soon after they're consumed, I have no doubt I will remember this meal for the rest of my life.

Thank you Hells Kitchen for such a fantastic experience!",0,1,1
0,"I came inside expecting to hear a negative response in resizing my blinds that I recently purchased because my dog chewed up the box. But the two associates that helped me out I think their names were Lynne and lynnard far exceeded my expectations in customer service. Good job, keep up the good work.",0,0,1
1,"This was our first visit, and unfortunately we went there and had to euthanize our beloved pet Bailey. We didn't have an appointment, yet they took care of us almost immediately. The bedside manner and the service we received during this traumatic time was amazing. We were so upset with grief that we left out one of the exit doors without expressing our tremendous gratitude for the care we received. Thank you to everyone at Spencer Springs Animal Hospital you are a beacon of light during a dark time.",0,0,1
0,Here for breakfast. Food is great. Service is excellent. THANKS TO Barbara. Good job! :-),0,0,1
0,"Rating soley on the atmosphere and music. The venue is very nice, but the place was sassy packed and we had one of the rudest bartenders ever!!!

Music was great though. I'd go back...",0,0,1
1,"A new Asian community. I think this is Lee-Lee's competition... pretty much yeah. The plaza setup is really neat. It's like a mini-mall. 

The aisles do seem a little small especially when there are other people, but it's way neat to explore. I like the little stores outside of the main grocery stores... I always check out the Asian mobile store. I'm a big fan of NOKIAs so I ways need to check out what kind of selection their store has. I was not disappointed! 

Check this place out, it's pretty neat. Never been to any place like it.",1,0,1
0,Dr. Kelly and her team are very thorough in exams as well as addressing any concerns you may have regarding testing or general questions about your pet and its health. The fees are affordable too and I'm never cringing on how much of a high vet bill I'm going to end up with vs other vets that barely take time to look at my dog. Alyssa at the front desk is also very personable on phone and in person and very prompt in any questions or concerns you have. I am so happy to have found this great vet!,0,0,1
0,"This location is way off the beaten path. We were visiting Vegas for Memorial Day weekend. I wanted  to find a country kitchen so I yelped country kitchens near me and this quaint little place came up. I don't normally eat biscuits and gravy, but as you can see from my plate I completely devoured the whole meal. The service was excellent and the owner stopped by our table of couple of times making sure we didn't need anything. Making his presence known (nIce gesture).  The order came out fairly quickly. I will be back.",0,0,1
0,"The food, atmosphere and spirits are tops. Definitely need to put it on your list of places to eat in Scottsdale.",0,0,1
0,"We saw Robert Earl Keen , Lyle Lovett and George Strait on December 7 ! Absolutely fantastic venue. We got in quickly even with a large crowd. We were directed to our seats promptly. Restrooms were close and very clean. I like T Mobile Arena.",0,0,1
